order_id,customer_id,warehouse_id,workflow_type,preparation_time_min,packing_accuracy_pct,delivery_complaints,amount,status,signup_date,revenue,preparation_rate_per_hour,packing_accuracy_tier,delivery_complaint_quartile,packing_accuracy_score,preparation_speed_score,delivery_complaint_score,workflow_failure_score,warehouse_health_score
62,2382,W2,Packing,16.9,89.87,2,394.67,completed,2025-02-15,394.67,3.55,Fair,Q4,8.99,0.89,5.0,0,61.2
63,3662,W3,Packing,19.06,94.09,0,307.22,completed,2023-05-21,307.22,3.15,Good,Q2,9.41,0.79,10.0,0,74.9
64,1517,W1,Picking,10.52,97.55,1,142.24,failed,2025-08-27,,5.7,Excellent,Q3,9.75,1.43,7.5,10,56.4
65,4185,W1,Packaging,16.81,99.33,0,614.83,completed,2023-12-02,614.83,3.57,Excellent,Q2,9.93,0.89,10.0,0,77.0
66,2537,W3,Picking,8.45,100.0,0,773.2,completed,2025-03-23,773.2,7.1,Excellent,Q2,10.0,1.78,10.0,0,79.5
67,4299,W2,Picking,20.61,90.19,1,586.36,completed,2023-09-05,586.36,2.91,Fair,Q3,9.02,0.73,7.5,0,67.1
68,2397,W5,Picking,15.79,87.83,2,437.48,completed,2023-01-26,437.48,3.8,Fair,Q4,8.78,0.95,5.0,0,60.6
69,4005,W4,Packing,23.89,94.11,1,378.63,completed,2025-12-04,378.63,2.51,Good,Q3,9.41,0.63,7.5,0,68.3
70,2005,W3,Packing,11.3,96.16,0,284.12,completed,2023-06-27,284.12,5.31,Good,Q2,9.62,1.33,10.0,0,77.0
71,1744,W3,Packing,11.5,94.91,1,725.55,completed,2025-09-25,725.55,5.22,Good,Q3,9.49,1.3,7.5,0,70.2
72,2131,W2,Sorting,22.63,83.87,4,600.49,pending,2026-02-12,,2.65,Poor,Q4,8.39,0.66,0,5,38.5
73,3010,W1,Packaging,15.92,90.95,1,554.33,completed,2025-07-06,554.33,3.77,Fair,Q3,9.09,0.94,7.5,0,67.9
74,2511,W1,Picking,8.15,94.84,1,569.41,completed,2025-08-27,569.41,7.36,Good,Q3,9.48,1.84,7.5,0,71.5
75,1494,W5,Sorting,22.69,83.22,1,224.92,completed,2024-01-30,224.92,2.64,Poor,Q3,8.32,0.66,7.5,0,64.5
76,4025,W3,Picking,12.6,100.0,0,174.94,pending,2025-09-18,,4.76,Excellent,Q2,10.0,1.19,10.0,5,70.5
77,1518,W3,Sorting,21.48,88.99,0,606.2,failed,2024-07-15,,2.79,Fair,Q2,8.9,0.7,10.0,10,57.9
78,3010,W1,Picking,19.05,96.63,0,740.17,completed,2023-07-30,740.17,3.15,Good,Q2,9.66,0.79,10.0,0,75.8
79,4367,W1,Sorting,15.83,93.73,4,413.9,completed,2023-05-14,413.9,3.79,Good,Q4,9.37,0.95,0,0,50.2
80,3305,W4,Packing,20.77,94.59,0,139.58,completed,2024-09-14,139.58,2.89,Good,Q2,9.46,0.72,10.0,0,74.9
81,2845,W1,Packaging,17.62,90.06,1,451.35,completed,2025-06-25,451.35,3.41,Fair,Q3,9.01,0.85,7.5,0,67.4
82,4124,W3,Packing,14.74,89.72,0,632.97,completed,2024-03-01,632.97,4.07,Fair,Q2,8.97,1.02,10.0,0,73.9
83,3432,W2,Sorting,23.5,90.36,2,391.17,completed,2025-08-20,391.17,2.55,Fair,Q4,9.04,0.64,5.0,0,60.7
84,3815,W3,Picking,16.57,94.73,0,394.12,completed,2024-04-23,394.12,3.62,Good,Q2,9.47,0.91,10.0,0,75.4
85,1679,W3,Packaging,10.66,93.0,3,74.63,completed,2024-09-21,74.63,5.63,Good,Q4,9.3,1.41,2.5,0,57.3
86,2115,W5,Sorting,17.71,83.46,2,351.09,completed,2025-10-21,351.09,3.39,Poor,Q4,8.35,0.85,5.0,0,58.8
87,1937,W5,Packing,13.04,83.75,1,36.6,completed,2026-03-24,36.6,4.6,Poor,Q3,8.38,1.15,7.5,0,66.0
88,4097,W5,Picking,13.03,89.81,0,48.59,failed,2023-12-25,,4.6,Fair,Q2,8.98,1.15,10.0,10,59.3
89,2425,W4,Packing,19.77,100.0,0,91.19,cancelled,2025-04-16,,3.03,Excellent,Q2,10.0,0.76,10.0,10,61.9
90,2180,W3,Sorting,15.04,94.14,0,594.22,completed,2025-03-31,594.22,3.99,Good,Q2,9.41,1.0,10.0,0,75.4
91,1004,W5,Picking,18.06,94.55,2,444.69,completed,2026-01-16,444.69,3.32,Good,Q4,9.46,0.83,5.0,0,62.7
92,2810,W4,Packing,16.05,89.95,0,431.24,completed,2023-04-16,431.24,3.74,Fair,Q2,9.0,0.93,10.0,0,73.8
93,3493,W2,Sorting,26.62,86.41,1,827.58,completed,2024-05-05,827.58,2.25,Fair,Q3,8.64,0.56,7.5,0,65.4
94,1464,W2,Sorting,19.39,86.63,1,843.53,completed,2025-08-03,843.53,3.09,Fair,Q3,8.66,0.77,7.5,0,66.0
95,1998,W1,Packaging,15.76,90.83,0,833.5,completed,2025-07-24,833.5,3.81,Fair,Q2,9.08,0.95,10.0,0,74.2
96,1285,W5,Packaging,30.38,93.7,1,749.24,completed,2024-07-19,749.24,1.97,Good,Q3,9.37,0.49,7.5,0,67.8
97,3703,W4,Sorting,8.94,93.34,1,505.09,failed,2025-09-29,,6.71,Good,Q3,9.33,1.68,7.5,10,55.6
98,2865,W2,Packing,24.72,87.25,3,468.76,completed,2024-10-21,468.76,2.43,Fair,Q4,8.73,0.61,2.5,0,53.3
99,4323,W2,Packaging,20.89,97.88,3,603.87,completed,2025-02-19,603.87,2.87,Excellent,Q4,9.79,0.72,2.5,0,57.3
100,1411,W4,Packaging,18.64,100.0,1,507.8,completed,2025-06-20,507.8,3.22,Excellent,Q3,10.0,0.8,7.5,0,70.8
101,2085,W1,Packing,23.84,100.0,1,667.57,completed,2024-11-24,667.57,2.52,Excellent,Q3,10.0,0.63,7.5,0,70.3
102,2556,W5,Packing,21.23,93.27,0,732.55,completed,2024-10-10,732.55,2.83,Good,Q2,9.33,0.71,10.0,0,74.4
103,1403,W4,Picking,15.93,100.0,0,90.47,completed,2023-07-25,90.47,3.77,Excellent,Q2,10.0,0.94,10.0,0,77.3
104,2201,W4,Packaging,19.89,97.41,0,679.78,completed,2025-01-04,679.78,3.02,Excellent,Q2,9.74,0.75,10.0,0,76.0
105,2566,W3,Packing,11.86,92.69,1,80.94,completed,2026-06-23,80.94,5.06,Good,Q3,9.27,1.26,7.5,0,69.3
106,2045,W2,Packing,17.66,92.87,2,227.07,cancelled,2023-01-20,,3.4,Good,Q4,9.29,0.85,5.0,10,47.1
107,2737,W4,Sorting,21.15,97.32,0,548.51,completed,2024-05-27,548.51,2.84,Excellent,Q2,9.73,0.71,10.0,0,75.8
108,3342,W4,Sorting,23.69,90.26,2,213.07,completed,2025-01-05,213.07,2.53,Fair,Q4,9.03,0.63,5.0,0,60.7
109,3809,W5,Sorting,18.93,97.4,1,487.55,failed,2023-04-11,,3.17,Excellent,Q3,9.74,0.79,7.5,10,54.8
110,4284,W5,Packing,18.24,94.27,0,207.15,pending,2024-12-22,,3.29,Good,Q2,9.43,0.82,10.0,5,67.6
111,3570,W2,Packaging,16.5,85.26,0,539.59,completed,2023-03-22,539.59,3.64,Fair,Q2,8.53,0.91,10.0,0,72.1
112,2338,W3,Packing,10.17,92.3,1,774.54,completed,2025-04-30,774.54,5.9,Good,Q3,9.23,1.47,7.5,0,69.7
113,2052,W2,Packaging,7.07,88.39,0,708.44,completed,2025-09-13,708.44,8.49,Fair,Q2,8.84,2.12,10.0,0,76.2
114,1924,W3,Sorting,17.27,90.35,1,644.72,pending,2025-03-24,,3.47,Fair,Q3,9.04,0.87,7.5,5,60.1
115,2073,W5,Sorting,19.71,88.73,3,640.42,completed,2026-04-12,640.42,3.04,Fair,Q4,8.87,0.76,2.5,0,54.2
116,3299,W4,Sorting,21.56,93.79,1,753.34,completed,2024-11-02,753.34,2.78,Good,Q3,9.38,0.7,7.5,0,68.3
117,1185,W5,Packaging,17.32,86.14,1,112.42,completed,2023-03-18,112.42,3.46,Fair,Q3,8.61,0.87,7.5,0,66.1
118,2519,W3,Packing,11.3,94.17,2,339.52,completed,2026-01-11,339.52,5.31,Good,Q4,9.42,1.33,5.0,0,63.8
119,3827,W4,Packaging,11.07,90.14,0,248.58,cancelled,2025-01-28,,5.42,Fair,Q2,9.01,1.36,10.0,10,59.9
120,2504,W2,Packing,12.74,90.43,2,834.07,completed,2026-01-20,834.07,4.71,Fair,Q4,9.04,1.18,5.0,0,62.1
121,3628,W3,Picking,17.34,98.3,1,568.41,completed,2026-05-07,568.41,3.46,Excellent,Q3,9.83,0.87,7.5,0,70.3
122,1281,W1,Picking,11.31,97.38,1,486.42,pending,2026-02-09,,5.31,Excellent,Q3,9.74,1.33,7.5,5,63.7
123,1592,W2,Packaging,20.92,97.86,2,246.52,pending,2023-09-24,,2.87,Excellent,Q4,9.79,0.72,5.0,5,56.1
124,2467,W5,Sorting,16.27,92.99,3,125.06,pending,2024-05-02,,3.69,Good,Q4,9.3,0.92,2.5,5,48.6
125,2836,W5,Sorting,22.55,88.87,1,68.07,completed,2025-01-11,68.07,2.66,Fair,Q3,8.89,0.67,7.5,0,66.5
126,3698,W5,Picking,20.97,92.28,3,622.25,completed,2025-12-03,622.25,2.86,Good,Q4,9.23,0.72,2.5,0,55.4
127,3917,W3,Packing,35.97,96.52,2,105.15,completed,2025-06-27,105.15,1.67,Good,Q4,9.65,0.42,5.0,0,62.3
128,3397,W1,Picking,11.48,98.54,1,536.31,completed,2026-01-28,536.31,5.23,Excellent,Q3,9.85,1.31,7.5,0,71.5
129,4493,W3,Packing,12.8,92.86,0,600.99,failed,2026-02-03,,4.69,Good,Q2,9.29,1.17,10.0,10,60.4
130,2703,W2,Packing,19.19,90.59,2,393.67,completed,2023-07-14,393.67,3.13,Fair,Q4,9.06,0.78,5.0,0,61.2
131,1349,W3,Packing,17.82,100.0,0,91.17,completed,2023-07-10,91.17,3.37,Excellent,Q2,10.0,0.84,10.0,0,77.1
132,3300,W4,Picking,9.97,96.73,1,65.08,pending,2026-02-24,,6.02,Good,Q3,9.67,1.5,7.5,5,63.8
133,2178,W3,Picking,24.74,89.61,0,57.96,completed,2026-05-14,57.96,2.43,Fair,Q2,8.96,0.61,10.0,0,72.9
134,4470,W3,Sorting,24.58,89.58,1,417.63,completed,2023-08-10,417.63,2.44,Fair,Q3,8.96,0.61,7.5,0,66.6
135,3546,W3,Sorting,18.76,94.72,0,655.81,completed,2026-06-10,655.81,3.2,Good,Q2,9.47,0.8,10.0,0,75.1
136,2119,W5,Picking,22.56,87.93,0,39.18,completed,2024-09-24,39.18,2.66,Fair,Q2,8.79,0.66,10.0,0,72.4
137,1125,W3,Sorting,23.82,88.13,0,543.7,completed,2023-07-07,543.7,2.52,Fair,Q2,8.81,0.63,10.0,0,72.4
138,2328,W5,Packaging,22.61,87.26,2,275.22,completed,2026-03-08,275.22,2.65,Fair,Q4,8.73,0.66,5.0,0,59.7
139,2736,W5,Picking,24.48,96.86,2,385.0,cancelled,2025-09-21,,2.45,Good,Q4,9.69,0.61,5.0,10,47.9
140,1454,W5,Packing,22.23,89.63,3,303.22,completed,2024-08-03,303.22,2.7,Fair,Q4,8.96,0.67,2.5,0,54.3
141,1865,W5,Packing,20.33,91.24,2,185.69,completed,2023-10-09,185.69,2.95,Fair,Q4,9.12,0.74,5.0,0,61.3
142,2557,W3,Sorting,19.24,98.52,1,161.71,completed,2025-12-26,161.71,3.12,Excellent,Q3,9.85,0.78,7.5,0,70.2
143,3358,W2,Sorting,22.75,87.4,4,734.86,completed,2025-05-29,734.86,2.64,Fair,Q4,8.74,0.66,0,0,47.2
144,2330,W5,Packing,22.92,86.88,2,32.42,completed,2023-12-18,32.42,2.62,Fair,Q4,8.69,0.65,5.0,0,59.5
145,3146,W5,Packing,23.48,87.77,2,506.71,pending,2023-06-11,,2.56,Fair,Q4,8.78,0.64,5.0,5,52.3
146,3593,W4,Sorting,15.11,94.94,3,78.78,pending,2023-08-22,,3.97,Good,Q4,9.49,0.99,2.5,5,49.4
147,1599,W5,Packaging,16.29,94.73,2,212.28,cancelled,2024-06-08,,3.68,Good,Q4,9.47,0.92,5.0,10,47.9
148,4165,W2,Packaging,11.66,91.37,0,162.92,completed,2025-10-08,162.92,5.15,Fair,Q2,9.14,1.29,10.0,0,75.2
149,2294,W4,Packing,22.29,91.62,2,825.76,completed,2023-11-06,825.76,2.69,Fair,Q4,9.16,0.67,5.0,0,61.2
150,2441,W4,Picking,14.83,93.36,0,508.84,completed,2025-11-05,508.84,4.05,Good,Q2,9.34,1.01,10.0,0,75.2
151,1369,W1,Sorting,23.46,93.7,0,831.1,completed,2026-06-13,831.1,2.56,Good,Q2,9.37,0.64,10.0,0,74.4
152,2842,W5,Packing,28.6,81.92,1,763.06,completed,2026-03-16,763.06,2.1,Poor,Q3,8.19,0.52,7.5,0,63.7
153,3925,W2,Sorting,9.22,88.21,0,714.21,completed,2023-06-22,714.21,6.51,Fair,Q2,8.82,1.63,10.0,0,74.9
154,3497,W5,Packaging,23.79,86.27,0,452.6,completed,2023-11-22,452.6,2.52,Fair,Q2,8.63,0.63,10.0,0,71.8
155,2370,W3,Sorting,12.84,96.39,1,541.79,cancelled,2023-05-15,,4.67,Good,Q3,9.64,1.17,7.5,10,55.4
156,3468,W3,Picking,14.92,94.09,1,726.06,completed,2023-11-04,726.06,4.02,Good,Q3,9.41,1.01,7.5,0,69.2
157,3437,W3,Picking,19.33,99.28,2,342.28,completed,2023-06-23,342.28,3.1,Excellent,Q4,9.93,0.78,5.0,0,64.2
158,4026,W3,Packing,16.64,92.71,1,601.86,completed,2025-12-14,601.86,3.61,Good,Q3,9.27,0.9,7.5,0,68.4
159,1786,W1,Packing,21.87,94.99,2,654.74,completed,2024-04-08,654.74,2.74,Good,Q4,9.5,0.69,5.0,0,62.5
160,4420,W2,Packaging,18.62,92.03,1,658.68,completed,2025-12-14,658.68,3.22,Good,Q3,9.2,0.81,7.5,0,68.0
161,3558,W1,Sorting,13.83,89.16,1,593.53,cancelled,2023-12-06,,4.34,Fair,Q3,8.92,1.08,7.5,10,52.7
162,2167,W4,Picking,17.8,96.89,0,385.91,completed,2025-07-08,385.91,3.37,Good,Q2,9.69,0.84,10.0,0,76.0
163,2804,W2,Packaging,22.03,86.8,2,805.85,completed,2025-08-03,805.85,2.72,Fair,Q4,8.68,0.68,5.0,0,59.6
164,3476,W3,Packing,14.08,91.63,1,181.75,completed,2023-10-11,181.75,4.26,Fair,Q3,9.16,1.07,7.5,0,68.5
165,2167,W3,Picking,20.87,92.78,2,725.72,completed,2023-06-21,725.72,2.87,Good,Q4,9.28,0.72,5.0,0,61.8
166,1909,W2,Sorting,27.61,80.78,1,91.58,completed,2025-07-12,91.58,2.17,Poor,Q3,8.08,0.54,7.5,0,63.4
167,2305,W3,Picking,12.55,98.74,0,202.49,completed,2023-07-22,202.49,4.78,Excellent,Q2,9.87,1.2,10.0,0,77.5
168,1568,W3,Packaging,18.95,92.87,3,596.22,completed,2025-08-18,596.22,3.17,Good,Q4,9.29,0.79,2.5,0,55.7
169,2733,W4,Picking,18.66,98.53,2,523.41,cancelled,2023-08-16,,3.22,Excellent,Q4,9.85,0.8,5.0,10,49.0
170,2872,W3,Packaging,27.18,98.59,1,677.91,completed,2023-05-09,677.91,2.21,Excellent,Q3,9.86,0.55,7.5,0,69.6
171,3518,W1,Packing,23.59,95.1,1,373.41,completed,2024-12-23,373.41,2.54,Good,Q3,9.51,0.64,7.5,0,68.6
172,3154,W2,Packing,23.38,87.71,0,316.1,completed,2026-01-19,316.1,2.57,Fair,Q2,8.77,0.64,10.0,0,72.3
173,4229,W5,Picking,12.82,92.36,2,28.56,completed,2023-05-19,28.56,4.68,Good,Q4,9.24,1.17,5.0,0,62.8
174,2361,W3,Packaging,17.15,89.84,0,628.88,pending,2023-10-01,,3.5,Fair,Q2,8.98,0.87,10.0,5,66.1
175,3587,W1,Sorting,20.01,90.51,1,595.65,completed,2024-01-09,595.65,3.0,Fair,Q3,9.05,0.75,7.5,0,67.3
176,4240,W2,Picking,13.3,93.83,1,183.33,completed,2024-02-13,183.33,4.51,Good,Q3,9.38,1.13,7.5,0,69.4
177,1782,W1,Sorting,3.84,91.64,0,644.0,failed,2024-08-08,,15.62,Fair,Q2,9.16,3.91,10.0,10,66.8
178,2638,W3,Picking,15.38,95.38,1,322.3,cancelled,2025-06-19,,3.9,Good,Q3,9.54,0.98,7.5,10,54.6
179,3978,W4,Sorting,12.34,93.81,2,683.96,failed,2025-05-19,,4.86,Good,Q4,9.38,1.22,5.0,10,48.4
180,1327,W1,Packing,14.83,96.81,0,283.21,completed,2024-11-02,283.21,4.05,Good,Q2,9.68,1.01,10.0,0,76.4
181,2444,W3,Sorting,18.79,89.53,0,621.89,completed,2026-06-13,621.89,3.19,Fair,Q2,8.95,0.8,10.0,0,73.3
182,2663,W4,Sorting,20.08,94.05,0,575.44,completed,2025-01-14,575.44,2.99,Good,Q2,9.4,0.75,10.0,0,74.8
183,4188,W5,Packaging,25.27,93.78,1,71.14,failed,2025-01-20,,2.37,Good,Q3,9.38,0.59,7.5,10,53.1
184,2519,W3,Packing,16.89,95.96,1,390.69,failed,2025-01-31,,3.55,Good,Q3,9.6,0.89,7.5,10,54.6
185,4013,W4,Picking,10.25,97.46,0,109.73,completed,2024-01-17,109.73,5.85,Excellent,Q2,9.75,1.46,10.0,0,77.8
186,1878,W4,Packing,13.94,100.0,2,602.87,cancelled,2026-06-07,,4.3,Excellent,Q4,10.0,1.08,5.0,10,50.2
187,4319,W3,Packing,19.49,94.88,2,847.71,completed,2024-10-16,847.71,3.08,Good,Q4,9.49,0.77,5.0,0,62.6
188,3906,W3,Picking,23.39,95.55,1,146.52,completed,2023-12-23,146.52,2.57,Good,Q3,9.55,0.64,7.5,0,68.8
189,2511,W3,Packaging,18.43,96.68,1,477.61,completed,2025-08-15,477.61,3.26,Good,Q3,9.67,0.81,7.5,0,69.6
190,3944,W5,Packaging,19.88,92.45,2,849.66,completed,2025-09-07,849.66,3.02,Good,Q4,9.24,0.75,5.0,0,61.7
191,3785,W5,Packing,22.47,87.2,3,390.73,pending,2025-11-25,,2.67,Fair,Q4,8.72,0.67,2.5,5,45.9
192,1528,W3,Packaging,16.36,95.68,0,166.94,cancelled,2025-06-05,,3.67,Good,Q2,9.57,0.92,10.0,10,60.8
193,3125,W5,Picking,15.57,90.91,3,203.27,pending,2024-08-04,,3.85,Fair,Q4,9.09,0.96,2.5,5,48.0
194,3516,W1,Sorting,28.74,95.88,1,536.89,completed,2025-12-28,536.89,2.09,Good,Q3,9.59,0.52,7.5,0,68.6
195,3308,W1,Packaging,14.32,94.31,0,296.91,completed,2023-03-26,296.91,4.19,Good,Q2,9.43,1.05,10.0,0,75.6
196,4141,W1,Picking,8.2,93.99,0,558.69,completed,2026-03-17,558.69,7.32,Good,Q2,9.4,1.83,10.0,0,77.5
